Wavelength [nm], normalized G filter
531.78017761,0.00175405
532.62957150,0.00274024
533.53308718,0.00403367
534.41204102,0.00566844
535.61468529,0.00804706
536.60141984,0.01068483
537.65757299,0.01359416
538.66925652,0.01678498
539.54481703,0.02009638
540.65871123,0.02320399
541.59846324,0.02616541
542.55205365,0.02841943
543.57901506,0.03037056
544.55521681,0.03130637
545.53668808,0.03199553
546.52529325,0.03211370
547.51776429,0.03214598
548.49079970,0.03215765
549.56446944,0.03179544
550.53283354,0.03168710
551.44346816,0.03136600
552.47108949,0.03116928
553.48681157,0.03098572
554.54160827,0.03085055
555.56211970,0.03078919
556.49212864,0.03081948
557.64369689,0.03090532
558.65915215,0.03105388
559.60436447,0.03135142
560.50720756,0.03136845
561.45786181,0.03131169
562.57145007,0.03092713
563.59488230,0.03016668
564.53216867,0.02870831
565.47391042,0.02717373
566.60774769,0.02472449
567.59371624,0.02220353
568.48009111,0.01961164
569.49047154,0.01700841
570.51258485,0.01406723
571.60375479,0.01051584
572.65171006,0.00756750
573.56578670,0.00491976
574.77159304,0.00314291
575.79487306,0.00169497
576.80060510,0.00110929
577.81315212,0.00064991
578.68445742,0.00041565
579.83163547,0.00027750
580.78060138,0.00017307
