Wavelength [nm], normalized RE filter
701.74255820,0.00018481
702.65406058,0.00030594
703.62424315,0.00047511
704.63189278,0.00074257
705.63706280,0.00125021
706.79552681,0.00205882
707.68874834,0.00318157
708.57799629,0.00467369
709.56926943,0.00647991
710.59462103,0.00846332
711.59253280,0.01188766
712.58180507,0.01520109
713.56367641,0.01936656
714.52068957,0.02244144
715.57551593,0.02589530
716.55376534,0.02849473
717.49535063,0.02983152
718.55969339,0.03022858
719.46920078,0.02991098
720.46067321,0.02961282
721.49174489,0.02931128
722.50025037,0.02940096
723.59175777,0.02918788
724.52282122,0.02956737
725.52670013,0.03002108
726.64918390,0.03036567
727.56852851,0.03086253
728.52965105,0.03130806
729.47404278,0.03177073
730.43748602,0.03204303
731.54960274,0.03219081
732.52807830,0.03233263
733.44512347,0.03215741
734.38340833,0.03148718
735.57046641,0.03078241
736.53313055,0.03006144
737.50104332,0.02887524
738.44842083,0.02778879
739.35974682,0.02652110
740.44047681,0.02510233
741.37802247,0.02332085
742.38658252,0.02118844
743.51647089,0.01878979
744.49080965,0.01638823
745.49619491,0.01348134
746.47616399,0.01071439
747.46665543,0.00820025
748.58771056,0.00614406
749.49528256,0.00442021
750.43539720,0.00309703
751.44712245,0.00228052
752.53372097,0.00158761
753.70888987,0.00104565
754.57019899,0.00071189
755.32421874,0.00051804
755.89287946,0.00036314
